author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Schember, John","John Schember","calibre Quick Start Guide","C:\Users\chris\Calibre Library\John Schember\Quick Start Guide (1)\cover.jpg","2024-02-08T12:26:35+01:00","epub","","1","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","54630","","Quick Start Guide","Quick Start Guide","c3b31992-6ceb-47fa-9823-7794a46cfa1e"
"Johnson, Leah","Leah Johnson","<p> From the author of <I>You Should See Me in a Crown</I>, Leah Johnson delivers a stunning novel about being brave enough to be true to yourself, and learning to find joy even when times are unimaginably dark.<P></P><P>Olivia is an expert at falling in love . . . and at being dumped. But after the fallout from her last breakup has left her an outcast at school and at home, sheâ€&#8482;s determined to turn over a new leaf. A crush-free weekend at Farmland Music and Arts Festival with her best friend is just what she needs to get her mind off the senior year that awaits her.</P><P></P><P>Toni is one week away from starting college, and itâ€&#8482;s the last place she wants to be. Unsure about who she wants to become and still reeling in the wake of the loss of her musician-turned-roadie father, sheâ€&#8482;s heading back to the music festival that changed his life in hopes that following in his footsteps will help her find her own way forward.</P><P></P><P>When the two arrive at...","C:\Users\chris\Calibre Library\Leah Johnson\Rise to the Sun (2)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","2","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","6980115","","Rise to the Sun","Rise to the Sun","b57c7ca3-6422-4451-8245-c527ff446ebb"
"Brown, Austin Channing","Austin Channing Brown","<b>From a leading new voice on race and justice, an eye-opening account of what it's like to grow up black, Christian, and female in white America, in this idea-driven memoir about how her determined quest for identity and understanding shows a way forward for us all.</b><br>Austin Channing Brown's first encounter with a racialized America came at age 7, when she discovered her parents named her Austin to deceive future employers into thinking she was a white man. Growing up in majority-white schools, organizations, and churches, Austin writes, ""I had to learn what it means to love blackness,"" a journey that led to a lifetime spent navigating America's racial divide as a writer, speaker and expert who helps organizations practice genuine inclusion.<br>In a time when nearly all institutions (schools, churches, universities, businesses) claim to value ""diversity"" in their mission statements, I'M STILL HERE is a powerful account of how and why our actions so often fall short of our...","C:\Users\chris\Calibre Library\Austin Channing Brown\I'm Still Here_ Black Dignity in a W (3)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","3","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","860590","","I'm Still Here: Black Dignity in a World Made for Whiteness","I'm Still Here: Black Dignity in a World Made for Whiteness","3128c004-bf10-4cbd-9c38-ba4808771041"
"Williams, Tia","Tia Williams","**Seven days to fall in love, fifteen years to forget and seven days to get it all back again... From the author of** The Perfect Find **, this is a witty, romantic, and sexy-as-hell new novel of two writers and their second chance at love**.   
Brooklynite Eva Mercy is a single mom and bestselling erotica writer, who is feeling pressed from all sides. Shane Hall is a reclusive, enigmatic, award-winning literary author who, to everyone's surprise, shows up in New York.   
When Shane and Eva meet unexpectedly at a literary event, sparks fly, raising not only their past buried traumas, but the eyebrows of New York's Black literati. What no one knows is that twenty years earlier, teenage Eva and Shane spent one crazy, torrid week madly in love. They may be pretending that everything is fine now, but they can't deny their chemistry-or the fact that they've been secretly writing to each other in their books...
","C:\Users\chris\Calibre Library\Tia Williams\Seven Days in June (4)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","4","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","406676","None","Seven Days in June","Seven Days in June","3cd64527-a3b2-4bc4-a764-0ba0ee197e3e"
"Johnson, Leah","Leah Johnson","Liz Lighty has always believed she's too black, too poor, too awkward to shine in her small, rich, prom-obsessed midwestern town. But it's okay — Liz has a plan that will get her out of Campbell, Indiana, forever: attend the uber-elite Pennington College, play in their world-famous orchestra, and become a doctor.<br /> <br />But when the financial aid she was counting on unexpectedly falls through, Liz's plans come crashing down . . . until she's reminded of her school's scholarship for prom king and queen. There's nothing Liz wants to do less than endure a gauntlet of social media trolls, catty competitors, and humiliating public events, but despite her devastating fear of the spotlight she's willing to do whatever it takes to get to Pennington.<br /> <br />The only thing that makes it halfway bearable is the new girl in school, Mack. She's smart, funny, and just as much of an outsider as Liz. But Mack is also in the running for queen. Will falling for the competition keep Liz...","C:\Users\chris\Calibre Library\Leah Johnson\You Should See Me in a Crown (5)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","5","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","897491","","You Should See Me in a Crown","You Should See Me in a Crown","23bc786c-8a82-411b-bab4-52aad65ad808"
"Guillory, Jasmine","Jasmine Guillory","<b>As seen on <i>The Today Show! <br></i><br>The new exhilarating romance from <i>The New York Times </i>bestselling author of<i> The Proposal, </i>a <b><b>Reese Witherspoon x Hello Sunshine Book Club Pick</b></b>!</b><br> <br> Maddie and Theo have two things in common:<br> 1. Alexa is their best friend<br> 2. They hate each other<br> <b><br> </b>After an ""oops, we made a mistake"" night together, neither one can stop thinking about the other. With Alexa's wedding rapidly approaching, Maddie and Theo both share bridal party responsibilities that require more interaction with each other than they're comfortable with. Underneath the sharp barbs they toss at each other is a simmering attraction that won't fade. It builds until they find themselves sneaking off together to release some tension when Alexa isn't looking, agreeing they would end it once the wedding is over. When it's suddenly pushed up and they only have a few months left of secret rendezvouses, they find themselves...","C:\Users\chris\Calibre Library\Jasmine Guillory\The Wedding Party (6)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","6","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1946517","","The Wedding Party","Wedding Party, The","3deea883-28ad-40c9-a498-3db4a774a2d9"
"Bennett, Brit","Brit Bennett","<b><b><b>Named a Most Anticipated Book of 2020 by <i>O, the Oprah Magazine, The Washington Post, Harper's Bazaar, Buzzfeed, Vogue, PureWow, New York Magazine</i> and more</b><br><b><br><b>""Bennett's tone and style recalls James Baldwin and Jacqueline Woodson, but it's especially reminiscent of Toni Morrison's 1970 debut novel, <i>The Bluest Eye.""</i> <b>&#8212;</b>Kiley Reid, <i>Wall Street Journal</i></b> </b><br><b><br>""A page-turner."" &#8212;<i>O, The Oprah Magazine<br></i><br><b>""Sure to be one of 2020s best and boldest."" </b><i><b>&#8211;<i>Elle</i></b></i></b><br>From <i>The</i> <i>New York Times</i>-bestselling author of <i>The Mothers</i>, a stunning new novel about twin sisters, inseparable as children, who ultimately choose to live in two very different worlds, one black and one white.</b></b><br>The Vignes twin sisters will always be identical. But after growing up together in a small, southern black community and running away at age sixteen, it's not just the shape of...","C:\Users\chris\Calibre Library\Brit Bennett\The Vanishing Half_ A Novel (7)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","7","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","750518","","The Vanishing Half: A Novel","Vanishing Half: A Novel, The","d4ae98a4-b701-4757-a409-e83b48bceb5d"
"Sexton, Margaret Wilkerson","Margaret Wilkerson Sexton","<b>Following her National Book Award&#8211;nominated debut novel, <i>A Kind of Freedom</i>, Margaret Wilkerson Sexton returns with this equally elegant and historically inspired story of survivors and healers, of black women and their black sons, set in the American South</b><br> In 1925, Josephine is the proud owner of a thriving farm. As a child, she channeled otherworldly power to free herself from slavery. Now, her new neighbor, a white woman named Charlotte, seeks her company, and an uneasy friendship grows between them. But Charlotte has also sought solace in the Ku Klux Klan, a relationship that jeopardizes Josephine's family.<br> Nearly one hundred years later, Josephine's descendant, Ava, is a single mother who has just lost her job. She moves in with her white grandmother Martha, a wealthy but lonely woman who pays her grandchild to be her companion. But Martha's behavior soon becomes erratic, then even threatening, and Ava must escape before her story and Josephine's...","C:\Users\chris\Calibre Library\Margaret Wilkerson Sexton\The Revisioners (8)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","8","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1146366","","The Revisioners","Revisioners, The","45ae922b-1568-46b1-8ab9-2eb8187d6e50"
"Guillory, Jasmine","Jasmine Guillory","<b>The author of <i>The Wedding Date </i>serves up a novel about what happens when a public proposal doesn't turn into a happy ending, thanks to a woman who knows exactly how to make one on her own...</b><br><b>When someone asks you to spend your life with him, it shouldn't come as a surprise&#8212;or happen in front of 45,000 people.</b><br>When freelance writer Nikole Paterson goes to a Dodgers game with her actor boyfriend, his man bun, and his bros, the last thing she expects is a scoreboard proposal. Saying no isn't the hard part&#8212;they've only been dating for five months, and he can't even spell her name correctly. The hard part is having to face a stadium full of disappointed fans...<br>At the game with his sister, Carlos Ibarra comes to Nik's rescue and rushes her away from a camera crew. He's even there for her when the video goes viral and Nik's social media blows up&#8212;in a bad way. Nik knows that in the wilds of LA, a handsome doctor like Carlos can't be looking...","C:\Users\chris\Calibre Library\Jasmine Guillory\The Proposal (9)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","9","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","303821","","The Proposal","Proposal, The","147b5a3e-5e31-4a89-bf83-ded914c92ef4"
"Foley, Lucy","Lucy Foley","<p><strong>""As you patiently await season two of Only Murders in the Building, cozy up with Lucy Foley's latest whodunnit."" &#8212; Parade</strong></p><p><strong>""Exceedingly clever."" &#8212; Booklist</strong></p><p><strong>From the New York Times bestselling author of The Guest List comes a new locked room mystery, set in a Paris apartment building in which every resident has something to hide... </strong></p><p>Jess needs a fresh start. She's broke and alone, and she's just left her job under less than ideal circumstances. Her half-brother Ben didn't sound thrilled when she asked if she could crash with him for a bit, but he didn't say no, and surely everything will look better from Paris. Only when she shows up &#8211; to find a very nice apartment, could Ben really have afforded this? &#8211; he's not there.</p><p>The longer Ben stays missing, the more Jess starts to dig into her brother's situation, and the more questions she has. Ben's neighbors are an eclectic bunch, and...","C:\Users\chris\Calibre Library\Lucy Foley\The Paris Apartment (10)\cover.jpg","0101-01-01T01:00:00+01:00","epub","","10","","eng","Calibre Library","0101-01-01T01:00:00+01:00","","","","1.0","1059316","","The Paris Apartment","Paris Apartment, The","0a96d154-f411-4ea9-b042-92c003ded1d2"
