Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
203613942,Valley (The Glacian Trilogy #3),Stacey McEwan,"McEwan, Stacey",,"=""1915202418""","=""9781915202413""",0,4.34,Angry Robot,Hardcover,400,2024,2024,,2024/09/22,to-read,to-read (#414),to-read,,,,0,0
75669924,Chasm (The Glacian Trilogy #2),Stacey McEwan,"McEwan, Stacey",,"=""1915202663""","=""9781915202666""",0,4.00,Angry Robot,Kindle Edition,502,2023,2023,,2024/09/22,to-read,to-read (#413),to-read,,,,0,0
33229410,"Sweetpea (Sweetpea, #1)",C.J. Skuse,"Skuse, C.J.",,"=""0008216673""","=""9780008216672""",0,3.90,HQ,Hardcover,472,2017,2017,,2024/09/21,to-read,to-read (#412),to-read,,,,0,0
50042494,Ghosts,Dolly Alderton,"Alderton, Dolly",,"=""0241434548""","=""9780241434543""",0,3.88,Fig Tree,Hardcover,352,2020,2020,,2024/09/21,to-read,to-read (#411),to-read,,,,0,0
30832756,"Infernal Magic (Shadows & Flame, #1)",C.N. Crawford,"Crawford, C.N.",,"=""""","=""""",0,4.04,,Kindle Edition,309,2016,2016,,2024/09/21,to-read,to-read (#410),to-read,,,,0,0
62317663,"Frost (Frost and Nectar, #1)",C.N. Crawford,"Crawford, C.N.",,"=""1956290095""","=""9781956290097""",0,3.96,,Kindle Edition,326,2022,2022,,2024/09/21,to-read,to-read (#409),to-read,,,,0,0
58511056,"The Blood Trials (The Blood Gift Duology, #1)",N.E. Davenport,"Davenport, N.E.",,"=""0063058480""","=""9780063058484""",0,4.10,Harper Voyager,Hardcover,448,2022,2022,,2024/09/21,to-read,to-read (#408),to-read,,,,0,0
50520939,"The Atlas Six (The Atlas, #1)",Olivie Blake,"Blake, Olivie",,"=""""","=""""",0,3.59,,Kindle Edition,556,2020,2020,,2024/09/21,to-read,to-read (#407),to-read,,,,0,0
197363933,"The Games Gods Play (The Crucible, #1)",Abigail Owen,"Owen, Abigail",,"=""1649376561""","=""9781649376565""",0,4.34,Entangled: Red Tower Books,Hardcover,509,2024,2024,,2024/09/21,to-read,to-read (#406),to-read,,,,0,0
61190770,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,"Adjei-Brenyah, Nana Kwame",,"=""0593317335""","=""9780593317334""",0,4.14,Pantheon,Hardcover,367,2023,2023,,2024/09/21,to-read,to-read (#405),to-read,,,,0,0
